BurstID,Date,MJD(topo@1.5GHz),MJD(bary@inf freq.),DM(pc/cc),DM_err(pc/cc),Weff(ms),Weff_err(ms),Flux(mJy),Flux_err(mJy),Bandwidth(MHz),Bandwidth_err(MHz),Lower_Freq.(MHz),Lower_Freq_err(MHz),Center_Freq.(MHz),Center_Freq_err(MHz),Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,Fluence(mJy ms),Fluence_err(mJy ms),Energy(erg),Energy_err(erg),note,bestfit
B00091,20240221,60361.194415224,60361.190054343,529.6,0.3,2.56,0.1,97.98,5.73,320,20.9,1022.1,4.1,1182.1,10.5,1342.1,20.5,0.000049152,4096,250.76,17.68,3.41201E+37,3.27933E+36,,CDF
B00092,20240221,60361.194416084,60361.190055203,528,0.1,3.59,0.06,792.26,38.13,269.7,13,993.1,7,1127.9,2.7,1262.8,7,0.000049152,4096,2844.56,144.59,3.26212E+38,2.28518E+37,high RFI,Gaussian
B00093,20240221,60361.195782682,60361.191421813,530,1.2,7.03,0.86,103.78,2.53,93.4,10.5,1003.5,2.1,1050.2,5.2,1096.9,10.3,0.000049152,4096,729.73,90.55,2.89808E+37,4.85247E+36,,CDF
B00094,20240221,60361.195867679,60361.191506810,529.4,0.1,2.72,0.09,254.64,5.9,215.4,18.7,1002.7,1,1110.4,9.4,1218.1,18.7,0.000049152,4096,692.85,28.2,6.34584E+37,6.08472E+36,,CDF
B00095,20240221,60361.196878581,60361.192517721,530.7,0.3,2.36,0.22,65.26,2.92,118.6,18.6,1048.3,16.1,1107.6,9.5,1166.9,9.4,0.000049152,4096,154.21,15.93,7.7766E+36,1.4603E+36,,CDF
B00096,20240225,60365.133727433,60365.129413878,529.3,0.1,6.8,0.16,138.74,7.18,404.3,7.3,1005.9,3.2,1208.1,3.6,1410.2,6.5,0.000049152,4096,943.29,53.74,1.62164E+38,9.69216E+36,,CDF
B00097,20240225,60365.135092361,60365.130778827,528.6,0.1,5.62,0.05,1611.68,42.81,238,8.3,972.7,4.5,1091.7,1.8,1210.7,4.5,0.000049152,4096,9058.07,254.49,9.16678E+38,4.10521E+37,,Gaussian
B00098,20240225,60365.135961387,60365.131647866,528,0.1,1.26,0.12,52.48,2.35,254.2,22.9,1175.4,19.9,1302.5,11.4,1429.5,11.3,0.000049152,4096,66.08,6.95,7.14273E+36,9.89222E+35,,CDF
B00099,20240225,60365.137612894,60365.133299399,528.4,0.1,5.67,0.05,754.24,36.4,498.3,0.7,1001.3,0.5,1250.5,0.3,1499.6,0.4,0.000049152,4096,4277.18,210.47,9.06259E+38,4.46131E+37,,CDF
B00100,20240225,60365.145505718,60365.141192345,528.2,0.1,2.04,0.08,291.62,6.27,123.2,6.4,1002.5,0.9,1064,3.2,1125.6,6.3,0.000049152,4096,594.87,25.83,3.11628E+37,2.10984E+36,,CDF
B00101,20240225,60365.145825110,60365.141511742,527.4,1.4,1.29,0.22,28.91,1.32,258.4,10.1,990.2,5.6,1119.4,2.4,1248.6,5.6,0.000049152,4096,37.28,6.61,4.09584E+36,7.44182E+35,,Gaussian
B00102,20240225,60365.147985527,60365.143672193,528.8,0.2,6.07,0.09,616.18,13.08,133.3,3.7,988.8,2,1055.4,0.8,1122,2,0.000049152,4096,3737.41,97.11,2.11838E+38,8.05424E+36,,Gaussian
B00103,20240225,60365.149189683,60365.144876367,527.8,0.1,1.36,0.1,62.11,2.84,268.6,22.9,1194.5,14.9,1328.8,11.4,1463.1,17.3,0.000049152,4096,84.17,7.19,9.61318E+36,1.1599E+36,,CDF
