,id,station,toa,toa_utc,peak_sn,fluence,fluence_err,width_ms,spectral-density,spec_den_err,spectral-luminosity,spec_lum_err,bandwidth,central frequency,2bit-wb-tag
123,B103-o8,o8,60383.34973900872,60383.353768565226,6.12,11.85,2.37,10.24,4.21,0.84,4.11,0.82,128.0,1424.0,0.0
124,B104-st,st,60384.407195445725,60384.41118088184,24.19,81.12,16.22,4.15,28.83,5.77,69.47,13.89,52.0,1381.0,0.0
125,B104-o8,o8,60384.40719763635,60384.41118034149,19.55,55.3,11.06,3.97,19.65,3.93,49.54,9.91,128.0,1424.0,0.0
126,B105-wb,wb,60386.372891146726,60386.37678252559,37.09,1435.53,287.11,36.86,510.16,102.03,138.42,27.68,54.0,328.0,0.0
127,B106-o8,o8,60386.392961869606,60386.39685228792,5.41,7.96,1.59,7.17,2.83,0.57,3.95,0.79,72.0,1424.0,0.0
128,B107-st,st,60386.48185708617,60386.48574557214,7.28,37.06,7.41,10.49,13.17,2.63,12.56,2.51,98.0,1381.0,0.0
129,B107-o8,o8,60386.481858763946,60386.48574492104,11.22,50.6,10.12,7.42,17.98,3.6,24.23,4.85,128.0,1424.0,0.0
130,B108-o8,o8,60386.56373212888,60386.56761435168,4.61,14.24,2.85,10.24,5.06,1.01,4.94,0.99,128.0,1424.0,0.0
131,B109-st,st,60387.36332855321,60387.36717398565,6.37,11.55,2.31,5.24,4.1,0.82,7.83,1.57,98.0,1381.0,0.0
132,B110-tr,tr,60387.363329495165,60387.36717266336,12.65,9.63,1.93,4.1,3.42,0.68,8.36,1.67,256.0,1418.0,0.0
133,B110-wb,wb,60387.36333292633,60387.36717623575,5.88,10.14,2.03,2.56,3.61,0.72,14.09,2.82,128.0,1271.0,0.0
134,B112-wb,wb,60387.529495922936,60387.53333103482,5.73,23.71,4.74,4.86,8.43,1.69,17.32,3.46,128.0,1271.0,0.0
135,B113-st,st,60388.446783804015,60388.450574899005,5.91,18.82,3.76,6.99,6.69,1.34,9.57,1.91,57.0,1381.0,0.0
136,B114-st,st,60390.27282513938,60390.27652105175,18.26,54.03,10.81,5.02,19.2,3.84,38.22,7.64,98.0,1381.0,0.0
137,B115-st,st,60390.42207829367,60390.42576620423,7.9,12.49,2.5,1.97,4.44,0.89,22.58,4.52,98.0,1381.0,0.0
138,B116-st,st,60391.56544400212,60391.56906991559,7.03,14.54,2.91,3.28,5.17,1.03,15.77,3.15,98.0,1381.0,0.0
139,B117-st,st,60392.58928008254,60392.592848971,5.87,39.2,7.84,8.52,13.93,2.79,16.35,3.27,98.0,1381.0,0.0
140,B118-st,st,60393.55098238048,60393.55449641828,4.91,16.14,3.23,3.93,5.74,1.15,14.59,2.92,98.0,1381.0,0.0
141,B119-st,st,60394.34394680855,60394.34741466928,5.44,23.86,4.77,13.11,8.48,1.7,6.47,1.29,98.0,1381.0,0.0
